alpha=0.20, onset=0.30, offset=0.10,     | FA: 0.1353 | MISS: 0.0591 | CER: 0.1181 | DER: 0.3125 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.10,     | FA: 0.1353 | MISS: 0.0591 | CER: 0.1074 | DER: 0.3018 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.10,     | FA: 0.1352 | MISS: 0.0592 | CER: 0.1175 | DER: 0.3119 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.10,     | FA: 0.1352 | MISS: 0.0592 | CER: 0.1175 | DER: 0.3119 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.10,     | FA: 0.1352 | MISS: 0.0593 | CER: 0.1182 | DER: 0.3127 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.10,     | FA: 0.1351 | MISS: 0.0594 | CER: 0.1182 | DER: 0.3128 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.10,     | FA: 0.1351 | MISS: 0.0596 | CER: 0.1167 | DER: 0.3113 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.10,     | FA: 0.1351 | MISS: 0.0597 | CER: 0.1162 | DER: 0.3109 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.10,     | FA: 0.1350 | MISS: 0.0597 | CER: 0.1165 | DER: 0.3113 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.10,     | FA: 0.1350 | MISS: 0.0599 | CER: 0.1162 | DER: 0.3111 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.10,     | FA: 0.1350 | MISS: 0.0599 | CER: 0.1165 | DER: 0.3114 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.10,     | FA: 0.1339 | MISS: 0.0620 | CER: 0.1156 | DER: 0.3115 | Spk. Count Acc. 1.0000
