alpha=0.20, onset=0.30, offset=0.10,     | FA: 0.1353 | MISS: 0.0591 | CER: 0.2672 | DER: 0.4616 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.10,     | FA: 0.1353 | MISS: 0.0591 | CER: 0.2790 | DER: 0.4734 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.10,     | FA: 0.1352 | MISS: 0.0592 | CER: 0.2707 | DER: 0.4651 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.10,     | FA: 0.1352 | MISS: 0.0592 | CER: 0.2732 | DER: 0.4676 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.10,     | FA: 0.1352 | MISS: 0.0593 | CER: 0.2761 | DER: 0.4705 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.10,     | FA: 0.1351 | MISS: 0.0594 | CER: 0.2719 | DER: 0.4664 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.10,     | FA: 0.1351 | MISS: 0.0596 | CER: 0.2735 | DER: 0.4682 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.10,     | FA: 0.1351 | MISS: 0.0597 | CER: 0.2706 | DER: 0.4653 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.10,     | FA: 0.1350 | MISS: 0.0597 | CER: 0.2720 | DER: 0.4668 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.10,     | FA: 0.1350 | MISS: 0.0599 | CER: 0.2718 | DER: 0.4667 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.10,     | FA: 0.1350 | MISS: 0.0599 | CER: 0.2729 | DER: 0.4678 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.10,     | FA: 0.1339 | MISS: 0.0620 | CER: 0.2789 | DER: 0.4748 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.10,     | FA: 0.1291 | MISS: 0.0836 | CER: 0.2658 | DER: 0.4784 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.30, offset=0.15,     | FA: 0.1103 | MISS: 0.1336 | CER: 0.2202 | DER: 0.4642 | Spk. Count Acc. 1.0000
