alpha=1.0, onset=0.30, offset=0.10,     | FA: 0.1081 | MISS: 0.1092 | CER: 0.0444 | DER: 0.2616 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.35, offset=0.10,     | FA: 0.1068 | MISS: 0.1160 | CER: 0.0430 | DER: 0.2657 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.40, offset=0.10,     | FA: 0.1048 | MISS: 0.1229 | CER: 0.0418 | DER: 0.2695 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.45, offset=0.10,     | FA: 0.1024 | MISS: 0.1302 | CER: 0.0417 | DER: 0.2742 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.50, offset=0.10,     | FA: 0.0997 | MISS: 0.1415 | CER: 0.0409 | DER: 0.2821 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.55, offset=0.10,     | FA: 0.0969 | MISS: 0.1515 | CER: 0.0382 | DER: 0.2867 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.60, offset=0.10,     | FA: 0.0929 | MISS: 0.1645 | CER: 0.0412 | DER: 0.2986 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.65, offset=0.10,     | FA: 0.0887 | MISS: 0.1791 | CER: 0.0354 | DER: 0.3032 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.70, offset=0.10,     | FA: 0.0837 | MISS: 0.1987 | CER: 0.0357 | DER: 0.3180 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.75, offset=0.10,     | FA: 0.0791 | MISS: 0.2196 | CER: 0.0354 | DER: 0.3341 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.80, offset=0.10,     | FA: 0.0746 | MISS: 0.2450 | CER: 0.0303 | DER: 0.3499 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.85, offset=0.10,     | FA: 0.0669 | MISS: 0.2806 | CER: 0.0332 | DER: 0.3807 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.90, offset=0.10,     | FA: 0.0602 | MISS: 0.3257 | CER: 0.0304 | DER: 0.4163 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.30, offset=0.15,     | FA: 0.0948 | MISS: 0.1574 | CER: 0.0409 | DER: 0.2932 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.35, offset=0.15,     | FA: 0.0933 | MISS: 0.1639 | CER: 0.0395 | DER: 0.2968 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.40, offset=0.15,     | FA: 0.0916 | MISS: 0.1723 | CER: 0.0370 | DER: 0.3009 | Spk. Count Acc. 1.0000
alpha=1.0, onset=0.45, offset=0.15,     | FA: 0.0898 | MISS: 0.1813 | CER: 0.0410 | DER: 0.3121 | Spk. Count Acc. 1.0000
