alpha=0.10, onset=0.30, offset=0.10,     | FA: 0.0542 | MISS: 0.1673 | CER: 0.0423 | DER: 0.2638 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.35, offset=0.10,     | FA: 0.0541 | MISS: 0.1676 | CER: 0.0415 | DER: 0.2632 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.40, offset=0.10,     | FA: 0.0541 | MISS: 0.1680 | CER: 0.0429 | DER: 0.2650 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.10,     | FA: 0.0541 | MISS: 0.1685 | CER: 0.0461 | DER: 0.2687 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.10,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.0434 | DER: 0.2664 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.10,     | FA: 0.0540 | MISS: 0.1695 | CER: 0.0458 | DER: 0.2693 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.10,     | FA: 0.0539 | MISS: 0.1701 | CER: 0.0461 | DER: 0.2701 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.10,     | FA: 0.0538 | MISS: 0.1707 | CER: 0.0440 | DER: 0.2685 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.10,     | FA: 0.0538 | MISS: 0.1710 | CER: 0.0438 | DER: 0.2685 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.10,     | FA: 0.0538 | MISS: 0.1713 | CER: 0.0449 | DER: 0.2700 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.10,     | FA: 0.0537 | MISS: 0.1717 | CER: 0.0494 | DER: 0.2749 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.10,     | FA: 0.0537 | MISS: 0.1720 | CER: 0.0482 | DER: 0.2739 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.10,     | FA: 0.0534 | MISS: 0.1726 | CER: 0.0429 | DER: 0.2689 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.30, offset=0.15,     | FA: 0.0541 | MISS: 0.1680 | CER: 0.0645 | DER: 0.2867 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.35, offset=0.15,     | FA: 0.0541 | MISS: 0.1683 | CER: 0.0477 | DER: 0.2701 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.40, offset=0.15,     | FA: 0.0541 | MISS: 0.1687 | CER: 0.0463 | DER: 0.2691 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.15,     | FA: 0.0540 | MISS: 0.1692 | CER: 0.0413 | DER: 0.2646 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.15,     | FA: 0.0540 | MISS: 0.1697 | CER: 0.0438 | DER: 0.2675 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.15,     | FA: 0.0540 | MISS: 0.1702 | CER: 0.0457 | DER: 0.2699 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.15,     | FA: 0.0538 | MISS: 0.1708 | CER: 0.0466 | DER: 0.2712 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.15,     | FA: 0.0538 | MISS: 0.1714 | CER: 0.0462 | DER: 0.2713 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.15,     | FA: 0.0538 | MISS: 0.1717 | CER: 0.0460 | DER: 0.2715 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.15,     | FA: 0.0537 | MISS: 0.1720 | CER: 0.0436 | DER: 0.2693 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.15,     | FA: 0.0537 | MISS: 0.1724 | CER: 0.0491 | DER: 0.2752 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.15,     | FA: 0.0537 | MISS: 0.1727 | CER: 0.0486 | DER: 0.2750 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.15,     | FA: 0.0533 | MISS: 0.1733 | CER: 0.0456 | DER: 0.2723 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.30, offset=0.20,     | FA: 0.0541 | MISS: 0.1683 | CER: 0.0467 | DER: 0.2691 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.35, offset=0.20,     | FA: 0.0541 | MISS: 0.1686 | CER: 0.0429 | DER: 0.2656 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.40, offset=0.20,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.0440 | DER: 0.2671 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.20,     | FA: 0.0540 | MISS: 0.1695 | CER: 0.0453 | DER: 0.2688 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.20,     | FA: 0.0540 | MISS: 0.1700 | CER: 0.0439 | DER: 0.2678 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.20,     | FA: 0.0540 | MISS: 0.1704 | CER: 0.0447 | DER: 0.2691 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.20,     | FA: 0.0538 | MISS: 0.1711 | CER: 0.0451 | DER: 0.2700 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.20,     | FA: 0.0538 | MISS: 0.1717 | CER: 0.0504 | DER: 0.2758 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.70, offset=0.20,     | FA: 0.0537 | MISS: 0.1720 | CER: 0.0448 | DER: 0.2705 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.75, offset=0.20,     | FA: 0.0537 | MISS: 0.1722 | CER: 0.0452 | DER: 0.2712 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.80, offset=0.20,     | FA: 0.0537 | MISS: 0.1727 | CER: 0.0471 | DER: 0.2734 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.85, offset=0.20,     | FA: 0.0534 | MISS: 0.1730 | CER: 0.0435 | DER: 0.2699 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.90, offset=0.20,     | FA: 0.0531 | MISS: 0.1736 | CER: 0.0478 | DER: 0.2745 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.30, offset=0.25,     | FA: 0.0541 | MISS: 0.1687 | CER: 0.0438 | DER: 0.2665 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.35, offset=0.25,     | FA: 0.0540 | MISS: 0.1690 | CER: 0.0484 | DER: 0.2714 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.40, offset=0.25,     | FA: 0.0540 | MISS: 0.1694 | CER: 0.0434 | DER: 0.2668 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.45, offset=0.25,     | FA: 0.0540 | MISS: 0.1699 | CER: 0.0429 | DER: 0.2668 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.50, offset=0.25,     | FA: 0.0540 | MISS: 0.1704 | CER: 0.0417 | DER: 0.2661 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.55, offset=0.25,     | FA: 0.0539 | MISS: 0.1708 | CER: 0.0480 | DER: 0.2727 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.60, offset=0.25,     | FA: 0.0538 | MISS: 0.1715 | CER: 0.0411 | DER: 0.2663 | Spk. Count Acc. 1.0000
alpha=0.10, onset=0.65, offset=0.25,     | FA: 0.0537 | MISS: 0.1721 | CER: 0.0437 | DER: 0.2696 | Spk. Count Acc. 1.0000
