alpha=0.20, onset=0.30, offset=0.10,     | FA: 0.0566 | MISS: 0.1509 | CER: 0.4759 | DER: 0.6834 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.10,     | FA: 0.0566 | MISS: 0.1513 | CER: 0.5268 | DER: 0.7347 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.10,     | FA: 0.0565 | MISS: 0.1516 | CER: 0.5218 | DER: 0.7300 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.10,     | FA: 0.0565 | MISS: 0.1521 | CER: 0.5201 | DER: 0.7287 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.10,     | FA: 0.0565 | MISS: 0.1525 | CER: 0.4759 | DER: 0.6849 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.10,     | FA: 0.0565 | MISS: 0.1527 | CER: 0.4488 | DER: 0.6579 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.10,     | FA: 0.0563 | MISS: 0.1530 | CER: 0.4631 | DER: 0.6724 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.10,     | FA: 0.0563 | MISS: 0.1531 | CER: 0.4536 | DER: 0.6630 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.10,     | FA: 0.0562 | MISS: 0.1533 | CER: 0.4635 | DER: 0.6730 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.10,     | FA: 0.0562 | MISS: 0.1538 | CER: 0.4528 | DER: 0.6628 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.10,     | FA: 0.0562 | MISS: 0.1539 | CER: 0.4155 | DER: 0.6256 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.10,     | FA: 0.0551 | MISS: 0.1607 | CER: 0.4551 | DER: 0.6709 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.10,     | FA: 0.0535 | MISS: 0.1708 | CER: 0.4746 | DER: 0.6989 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.30, offset=0.15,     | FA: 0.0551 | MISS: 0.1593 | CER: 0.5144 | DER: 0.7288 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.15,     | FA: 0.0550 | MISS: 0.1597 | CER: 0.4274 | DER: 0.6421 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.15,     | FA: 0.0550 | MISS: 0.1600 | CER: 0.4383 | DER: 0.6533 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.15,     | FA: 0.0549 | MISS: 0.1606 | CER: 0.4392 | DER: 0.6548 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.15,     | FA: 0.0549 | MISS: 0.1612 | CER: 0.4258 | DER: 0.6419 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.15,     | FA: 0.0549 | MISS: 0.1615 | CER: 0.4469 | DER: 0.6633 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.15,     | FA: 0.0547 | MISS: 0.1617 | CER: 0.4679 | DER: 0.6843 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.15,     | FA: 0.0547 | MISS: 0.1623 | CER: 0.4333 | DER: 0.6503 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.15,     | FA: 0.0546 | MISS: 0.1625 | CER: 0.4377 | DER: 0.6548 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.15,     | FA: 0.0546 | MISS: 0.1629 | CER: 0.4191 | DER: 0.6366 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.15,     | FA: 0.0546 | MISS: 0.1630 | CER: 0.4334 | DER: 0.6510 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.15,     | FA: 0.0535 | MISS: 0.1703 | CER: 0.4520 | DER: 0.6759 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.15,     | FA: 0.0517 | MISS: 0.1805 | CER: 0.4102 | DER: 0.6425 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.30, offset=0.20,     | FA: 0.0542 | MISS: 0.1677 | CER: 0.4428 | DER: 0.6647 | Spk. Count Acc. 0.7500
