alpha=0.20, onset=0.30, offset=0.10,     | FA: 0.0847 | MISS: 0.0699 | CER: 0.0607 | DER: 0.2153 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.10,     | FA: 0.0846 | MISS: 0.0702 | CER: 0.0699 | DER: 0.2247 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.10,     | FA: 0.0846 | MISS: 0.0703 | CER: 0.0578 | DER: 0.2127 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.10,     | FA: 0.0846 | MISS: 0.0704 | CER: 0.0587 | DER: 0.2137 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.10,     | FA: 0.0846 | MISS: 0.0705 | CER: 0.0568 | DER: 0.2118 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.10,     | FA: 0.0845 | MISS: 0.0707 | CER: 0.0599 | DER: 0.2151 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.10,     | FA: 0.0845 | MISS: 0.0707 | CER: 0.0608 | DER: 0.2161 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.10,     | FA: 0.0845 | MISS: 0.0708 | CER: 0.0601 | DER: 0.2153 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.10,     | FA: 0.0845 | MISS: 0.0708 | CER: 0.0642 | DER: 0.2195 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.10,     | FA: 0.0844 | MISS: 0.0709 | CER: 0.0577 | DER: 0.2130 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.10,     | FA: 0.0844 | MISS: 0.0711 | CER: 0.0556 | DER: 0.2111 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.10,     | FA: 0.0843 | MISS: 0.0711 | CER: 0.0554 | DER: 0.2108 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.10,     | FA: 0.0786 | MISS: 0.0797 | CER: 0.0648 | DER: 0.2231 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.30, offset=0.15,     | FA: 0.0557 | MISS: 0.1402 | CER: 0.0467 | DER: 0.2425 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.35, offset=0.15,     | FA: 0.0557 | MISS: 0.1405 | CER: 0.0410 | DER: 0.2371 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.40, offset=0.15,     | FA: 0.0556 | MISS: 0.1412 | CER: 0.0471 | DER: 0.2440 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.45, offset=0.15,     | FA: 0.0556 | MISS: 0.1413 | CER: 0.0422 | DER: 0.2391 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.50, offset=0.15,     | FA: 0.0556 | MISS: 0.1418 | CER: 0.0465 | DER: 0.2439 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.55, offset=0.15,     | FA: 0.0555 | MISS: 0.1422 | CER: 0.0434 | DER: 0.2412 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.60, offset=0.15,     | FA: 0.0555 | MISS: 0.1425 | CER: 0.0445 | DER: 0.2425 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.65, offset=0.15,     | FA: 0.0554 | MISS: 0.1430 | CER: 0.0427 | DER: 0.2411 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.15,     | FA: 0.0554 | MISS: 0.1433 | CER: 0.0458 | DER: 0.2444 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.15,     | FA: 0.0554 | MISS: 0.1433 | CER: 0.0466 | DER: 0.2453 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.15,     | FA: 0.0553 | MISS: 0.1436 | CER: 0.0433 | DER: 0.2422 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.15,     | FA: 0.0550 | MISS: 0.1437 | CER: 0.0441 | DER: 0.2429 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.15,     | FA: 0.0495 | MISS: 0.1530 | CER: 0.0467 | DER: 0.2491 | Spk. Count Acc. 1.0000
