alpha=0.20, onset=0.30, offset=0.10,     | FA: 0.0847 | MISS: 0.0699 | CER: 0.5169 | DER: 0.6714 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.10,     | FA: 0.0846 | MISS: 0.0702 | CER: 0.5176 | DER: 0.6725 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.10,     | FA: 0.0846 | MISS: 0.0703 | CER: 0.5014 | DER: 0.6563 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.10,     | FA: 0.0846 | MISS: 0.0704 | CER: 0.5244 | DER: 0.6793 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.10,     | FA: 0.0846 | MISS: 0.0705 | CER: 0.4827 | DER: 0.6377 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.10,     | FA: 0.0845 | MISS: 0.0707 | CER: 0.4373 | DER: 0.5925 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.10,     | FA: 0.0845 | MISS: 0.0707 | CER: 0.4856 | DER: 0.6408 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.10,     | FA: 0.0845 | MISS: 0.0708 | CER: 0.4615 | DER: 0.6168 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.10,     | FA: 0.0845 | MISS: 0.0708 | CER: 0.5025 | DER: 0.6577 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.10,     | FA: 0.0844 | MISS: 0.0709 | CER: 0.4635 | DER: 0.6188 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.10,     | FA: 0.0844 | MISS: 0.0711 | CER: 0.4738 | DER: 0.6293 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.10,     | FA: 0.0843 | MISS: 0.0711 | CER: 0.4935 | DER: 0.6489 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.10,     | FA: 0.0786 | MISS: 0.0797 | CER: 0.5090 | DER: 0.6673 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.30, offset=0.15,     | FA: 0.0557 | MISS: 0.1402 | CER: 0.5298 | DER: 0.7257 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.35, offset=0.15,     | FA: 0.0557 | MISS: 0.1405 | CER: 0.4604 | DER: 0.6566 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.40, offset=0.15,     | FA: 0.0556 | MISS: 0.1412 | CER: 0.4675 | DER: 0.6643 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.45, offset=0.15,     | FA: 0.0556 | MISS: 0.1413 | CER: 0.4615 | DER: 0.6584 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.50, offset=0.15,     | FA: 0.0556 | MISS: 0.1418 | CER: 0.4850 | DER: 0.6823 | Spk. Count Acc. 0.7500
