source,alpha,onset,offset,FA,MISS,CER,DER,SpkCountAcc
nemo_gpu_run_aepyx,0.60,0.55,0.10,0.0811,0.0000,0.0051,0.0862,1.0000
nemo_gpu_run_aggyz,0.60,0.55,0.10,0.0208,0.0000,0.1309,0.1517,1.0000
nemo_gpu_run_aiqwk,0.60,0.55,0.10,0.0396,0.0000,0.2533,0.2929,1.0000
nemo_gpu_run_aorju,0.60,0.55,0.10,0.0806,0.0161,0.3116,0.4084,1.0000
nemo_gpu_run_auzru,0.60,0.55,0.10,0.0101,0.0000,0.0005,0.0106,1.0000
nemo_gpu_run_aepyx_dl,0.60,0.55,0.10,0.0811,0.0000,0.0051,0.0862,1.0000
nemo_gpu_run_aggyz_dl,0.60,0.55,0.10,0.0208,0.0000,0.1309,0.1517,1.0000
nemo_gpu_run_aiqwk_dl,0.60,0.55,0.10,0.0396,0.0000,0.2533,0.2929,1.0000
nemo_gpu_run_aorju_dl,0.60,0.55,0.10,0.0770,0.0135,0.2978,0.3884,1.0000
nemo_gpu_run_auzru_dl,0.60,0.55,0.10,0.0101,0.0000,0.0005,0.0106,1.0000
nemo_gpu_run_aepyx_dl_fix,0.60,0.55,0.10,0.0811,0.0000,0.0051,0.0862,1.0000
nemo_gpu_run_aggyz_dl_fix,0.60,0.55,0.10,0.0208,0.0000,0.1309,0.1517,1.0000
nemo_gpu_run_aiqwk_dl_fix,0.60,0.55,0.10,0.0396,0.0000,0.2600,0.2996,1.0000
nemo_gpu_run_aorju_dl_fix,0.60,0.55,0.10,0.0844,0.0073,0.3023,0.3939,1.0000
nemo_gpu_run_auzru_dl_fix,0.60,0.55,0.10,0.0101,0.0000,0.0005,0.0106,1.0000
nemo_gpu_run_eauve_dl,0.60,0.55,0.10,0.0137,0.0056,0.3967,0.4161,1.0000
nemo_gpu_run_eauve_nodl,0.60,0.55,0.10,0.0131,0.0054,0.4651,0.4835,1.0000
nemo_gpu_run_dlast_dl,0.60,0.55,0.10,0.0647,0.0051,0.0149,0.0847,1.0000
nemo_gpu_run_dlast_nodl,0.60,0.55,0.10,0.0647,0.0051,0.0149,0.0847,1.0000
nemo_gpu_run_epygx_dl,0.60,0.55,0.10,0.0567,0.0055,0.0132,0.0754,1.0000
nemo_gpu_run_epygx_nodl,0.60,0.55,0.10,0.0542,0.0095,0.0115,0.0752,1.0000
nemo_gpu_run_2_dl,0.60,0.55,0.10,0.0007,0.0053,0.0449,0.0509,1.0000
nemo_gpu_run_2_nodl,0.60,0.55,0.10,0.0007,0.0113,0.0463,0.0583,1.0000
nemo_gpu_run_aepyx_dl,0.60,0.55,0.10,0.0811,0.0000,0.0051,0.0862,1.0000
nemo_gpu_run_aepyx_nodl,0.60,0.55,0.10,0.0811,0.0000,0.0051,0.0862,1.0000
nemo_gpu_run_aggyz_dl,0.60,0.55,0.10,0.0208,0.0000,0.1309,0.1517,1.0000
nemo_gpu_run_aggyz_nodl,0.60,0.55,0.10,0.0208,0.0000,0.1309,0.1517,1.0000
nemo_gpu_run_aiqwk_dl,0.60,0.55,0.10,0.0396,0.0000,0.2533,0.2929,1.0000
nemo_gpu_run_aiqwk_nodl,0.60,0.55,0.10,0.0396,0.0000,0.2600,0.2996,1.0000
nemo_gpu_run_aorju_dl,0.60,0.55,0.10,0.0622,0.0109,0.2982,0.3712,1.0000
nemo_gpu_run_aorju_nodl,0.60,0.55,0.10,0.0783,0.0086,0.3209,0.4079,1.0000
nemo_gpu_run_auzru_dl,0.60,0.55,0.10,0.0101,0.0000,0.0005,0.0106,1.0000
nemo_gpu_run_auzru_nodl,0.60,0.55,0.10,0.0101,0.0000,0.0005,0.0106,1.0000
nemo_gpu_run_bgvvt_dl,0.60,0.55,0.10,0.1153,0.0061,0.0025,0.1239,1.0000
nemo_gpu_run_bgvvt_nodl,0.60,0.55,0.10,0.1149,0.0057,0.0025,0.1230,1.0000
nemo_gpu_run_bidnq_dl,0.60,0.55,0.10,0.0105,0.0020,0.4859,0.4983,1.0000
nemo_gpu_run_bjruf_nodl,0.60,0.55,0.10,0.0856,0.0000,0.0201,0.1057,1.0000
nemo_gpu_run_bmsyn_dl,0.60,0.55,0.10,0.1767,0.0042,0.0528,0.2337,1.0000
nemo_gpu_run_bmsyn_nodl,0.60,0.55,0.10,0.1767,0.0042,0.0528,0.2337,1.0000
nemo_gpu_run_bpzsc_dl,0.60,0.55,0.10,0.0347,0.0026,0.4663,0.5036,1.0000
nemo_gpu_run_bpzsc_nodl,0.60,0.55,0.10,0.0347,0.0058,0.5422,0.5827,1.0000
nemo_gpu_run_bvqnu_dl,0.60,0.55,0.10,0.0261,0.0000,0.0248,0.0508,1.0000
nemo_gpu_run_bvqnu_nodl,0.60,0.55,0.10,0.0261,0.0000,0.0248,0.0508,1.0000
nemo_gpu_run_bvyvm_dl,0.60,0.55,0.10,0.0470,0.0000,0.0000,0.0470,1.0000
nemo_gpu_run_bvyvm_nodl,0.60,0.55,0.10,0.0470,0.0000,0.0000,0.0470,1.0000
nemo_gpu_run_bxcfq_dl,0.60,0.55,0.10,0.0000,0.0000,0.0000,0.0000,1.0000
nemo_gpu_run_bxcfq_nodl,0.60,0.55,0.10,0.0000,0.0000,0.0000,0.0000,1.0000
nemo_gpu_run_byapz_dl,0.60,0.55,0.10,0.0780,0.0079,0.3185,0.4045,1.0000
nemo_gpu_run_byapz_nodl,0.60,0.55,0.10,0.0780,0.0079,0.3185,0.4045,1.0000
nemo_gpu_run_cadba_dl,0.60,0.55,0.10,0.0226,0.0000,0.2462,0.2688,1.0000
nemo_gpu_run_cadba_nodl,0.60,0.55,0.10,0.0226,0.0000,0.2462,0.2688,1.0000
nemo_gpu_run_cawnd_dl,0.60,0.55,0.10,0.0198,0.0085,0.3123,0.3407,1.0000
nemo_gpu_run_cawnd_nodl,0.60,0.55,0.10,0.0237,0.0066,0.2697,0.3000,1.0000
nemo_gpu_run_clfcg_dl,0.60,0.55,0.10,0.0583,0.0000,0.1148,0.1731,1.0000
nemo_gpu_run_clfcg_nodl,0.60,0.55,0.10,0.0583,0.0000,0.1148,0.1731,1.0000
nemo_gpu_run_cpebh_dl,0.60,0.55,0.10,0.0315,0.0000,0.0000,0.0315,1.0000
nemo_gpu_run_cpebh_nodl,0.60,0.55,0.10,0.0315,0.0000,0.0000,0.0315,1.0000
nemo_gpu_run_cqfmj_dl,0.60,0.55,0.10,0.0669,0.0000,0.1172,0.1841,1.0000
nemo_gpu_run_cqfmj_nodl,0.60,0.55,0.10,0.0669,0.0000,0.1172,0.1841,1.0000
nemo_gpu_run_crorm_dl,0.60,0.55,0.10,0.0138,0.0128,0.0021,0.0286,1.0000
nemo_gpu_run_crorm_nodl,0.60,0.55,0.10,0.0138,0.0128,0.0021,0.0286,1.0000
nemo_gpu_run_crylr_dl,0.60,0.55,0.10,0.1284,0.0016,0.1201,0.2501,1.0000
nemo_gpu_run_crylr_nodl,0.60,0.55,0.10,0.1284,0.0016,0.1201,0.2501,1.0000
nemo_gpu_run_cvofp_dl,0.60,0.55,0.10,0.0632,0.0071,0.0018,0.0721,1.0000
nemo_gpu_run_cvofp_nodl,0.60,0.55,0.10,0.0632,0.0071,0.0018,0.0721,1.0000
nemo_gpu_run_cwbvu_dl,0.60,0.55,0.10,0.0312,0.0138,0.5075,0.5525,1.0000
nemo_gpu_run_cwbvu_nodl,0.60,0.55,0.10,0.0312,0.0138,0.5075,0.5525,1.0000
nemo_gpu_run_dgvwu_dl,0.60,0.55,0.10,0.0189,0.0018,0.1293,0.1500,1.0000
nemo_gpu_run_dgvwu_nodl,0.60,0.55,0.10,0.0189,0.0018,0.1293,0.1500,1.0000
nemo_gpu_run_diysk_dl,0.60,0.55,0.10,0.0736,0.0083,0.2970,0.3790,1.0000
nemo_gpu_run_diysk_nodl,0.60,0.55,0.10,0.0736,0.0058,0.3012,0.3806,1.0000
nemo_gpu_run_dkabn_dl,0.60,0.55,0.10,0.0950,0.0058,0.0670,0.1678,1.0000
nemo_gpu_run_dkabn_nodl,0.60,0.55,0.10,0.0950,0.0058,0.0670,0.1678,1.0000
nemo_gpu_run_dlast_dl,0.60,0.55,0.10,0.0647,0.0051,0.0149,0.0847,1.0000
nemo_gpu_run_dlast_nodl,0.60,0.55,0.10,0.0647,0.0051,0.0149,0.0847,1.0000
nemo_gpu_run_dohag_dl,0.60,0.55,0.10,0.0307,0.0220,0.0000,0.0527,1.0000
nemo_gpu_run_dohag_nodl,0.60,0.55,0.10,0.0307,0.0000,0.0000,0.0307,1.0000
nemo_gpu_run_duvox_dl,0.60,0.55,0.10,0.0679,0.0049,0.0537,0.1265,1.0000
nemo_gpu_run_duvox_nodl,0.60,0.55,0.10,0.0678,0.0045,0.0787,0.1510,1.0000
nemo_gpu_run_dxbbt_dl,0.60,0.55,0.10,0.0143,0.0038,0.0003,0.0184,1.0000
nemo_gpu_run_dxbbt_nodl,0.60,0.55,0.10,0.0143,0.0038,0.0003,0.0184,1.0000
nemo_gpu_run_dxokr_dl,0.60,0.55,0.10,0.0222,0.0000,0.2127,0.2349,1.0000
nemo_gpu_run_dxokr_nodl,0.60,0.55,0.10,0.0222,0.0000,0.2127,0.2349,1.0000
nemo_gpu_run_dzsef_dl,0.60,0.55,0.10,0.0097,0.0000,0.0000,0.0097,1.0000
nemo_gpu_run_dzsef_nodl,0.60,0.55,0.10,0.0097,0.0000,0.0000,0.0097,1.0000
nemo_gpu_run_dzxut_dl,0.60,0.55,0.10,0.0793,0.0027,0.4749,0.5568,1.0000
nemo_gpu_run_dzxut_nodl,0.60,0.55,0.10,0.0793,0.0027,0.4749,0.5568,1.0000
nemo_gpu_run_eauve_dl,0.60,0.55,0.10,0.0128,0.0043,0.4749,0.4920,1.0000
nemo_gpu_run_eauve_nodl,0.60,0.55,0.10,0.0128,0.0061,0.4762,0.4950,1.0000
nemo_gpu_run_eazeq_dl,0.60,0.55,0.10,0.0189,0.0000,0.0000,0.0189,1.0000
nemo_gpu_run_eddje_dl,0.60,0.55,0.10,0.0870,0.0022,0.0026,0.0918,1.0000
nemo_gpu_run_eddje_nodl,0.60,0.55,0.10,0.0870,0.0022,0.0026,0.0918,1.0000
nemo_gpu_run_eguui_dl,0.60,0.55,0.10,0.1539,0.0000,0.0000,0.1539,1.0000
nemo_gpu_run_eguui_nodl,0.60,0.55,0.10,0.1539,0.0000,0.0000,0.1539,1.0000
nemo_gpu_run_eoyaz_dl,0.60,0.55,0.10,0.0089,0.0000,0.1034,0.1123,1.0000
